title,price,availability
Palm Quest Buoyancy Aid,£55.99,Contact Us
Yak Kallista PFD,From £45.00,Some Colours/Sizes In Stock
TNP Asymmetric 2 Piece Paddle,£64.98,In Stock
C-Tug Canoe & Kayak Trolley,£114.49,In Stock
Wave Sport Scooter Sit on Top Kayak - Whiteout,£510.00,Some Colours/Sizes In Stock
Palm Meander Buoyancy Aid - Women's Fit,£79.99,Some Colours/Sizes In Stock
Grey Owl Scout Canoe Paddle,£64.94,Some Colours/Sizes In Stock
Islander Calypso Sport Sit on Top Kayak,£574.99,Contact Us
Grey Owl Voyageur Canoe Paddle,£94.94,Some Colours/Sizes In Stock
Palm Meander Buoyancy Aid - 2021,£79.99,Some Colours/Sizes In Stock
Peak UK Explorer Zip PFD - 2021,£135.00,In Stock
TNP Canoe Paddle,£44.99,Some Colours/Sizes In Stock
Dryrobe Black Long Sleeved Changing Robe,£160.00,Some Colours/Sizes In Stock
Pyranha SurfJet 2.0,£399.00,Some Colours/Sizes In Stock
Palm FX Buoyancy Aid,£115.00,Some Colours/Sizes In Stock
NRS Paddle Wetshoe Fleece Lined Neoprene Boot,£54.95,Some Colours/Sizes In Stock
Palm Hydro Buoyancy Aid,£94.99,Some Colours/Sizes In Stock
Yak Xipe PFD,£94.00,Some Colours/Sizes In Stock
Palm Vector Recreational Cag,£90.00,Some Colours/Sizes In Stock
Palm Classic Drybag,£16.00,Some Colours/Sizes In Stock
Dagger Katana 2021 Kayak - Action Spec,£829.00,Some Colours/Sizes In Stock
Yak Chinook Dry Trousers,£109.99,Some Colours/Sizes In Stock
Dryrobe Camo Long Sleeved Changing Robe,£160.00,Some Colours/Sizes In Stock
Palm Universal Buoyancy Aid,£60.00,In Stock
Grey Owl Owlet Canoe Paddle,£39.95,Some Colours/Sizes In Stock
Peak UK Air Bags - Kayak (Pair),£39.00,In Stock
Palm FXr Whitewater Buoyancy Aid,£175.00,Some Colours/Sizes In Stock
Palm Quest Buoyancy Aid - Kids,£49.00,Contact Us
Palm Rock Shoes,£45.00,Some Colours/Sizes In Stock
Grey Owl Beavertail Canoe Paddle,£89.94,Some Colours/Sizes In Stock
Overboard Multipurpose Phone Case,£21.98,In Stock
Peak UK Thermal Rashy - Long Sleeved - 2021,£45.00,Some Colours/Sizes In Stock
Palm Vector Recreational Cag - Women's Fit,£90.00,Some Colours/Sizes In Stock
Palm Talon Mitts,£31.00,Some Colours/Sizes In Stock
Ortlieb Mid Weight Drybag,£16.50,Some Colours/Sizes In Stock
Crewsaver Granite Water Shoe,£34.00,Some Colours/Sizes In Stock
Palm Coniston Nylon Spraydeck,£55.00,Some Colours/Sizes In Stock
Palm 3D Canoe Airbag,£55.99,Some Colours/Sizes In Stock
NRS Women's Siren PFD,£94.94,In Stock
Pyranha Surf Jet 2.0 Paddle Park,£7.50,In Stock
Palm Nylon Cockpit Cover,£37.99,Some Colours/Sizes In Stock
Aqua-Bound Manta Ray Hybrid 2-pc Posi-Lok Paddle,£154.99,In Stock
Pyranha Surf Jet 2.0 Stout Backstrap,£43.20,In Stock
Werner Tybee FG Paddle,£139.98,Contact Us
Palm Quantum Womens Neoprene Pants,£60.00,Some Colours/Sizes In Stock
Palm Peyto Buoyancy Aid - Womens - 2021,£130.00,Some Colours/Sizes In Stock
Palm Colt Kid's Paddle,£46.00,Some Colours/Sizes In Stock
Palm Grab Gloves,£28.99,Some Colours/Sizes In Stock
Palm Drift-Pro 2-Piece Paddle,£100.00,Some Colours/Sizes In Stock
Wave Sport Gemini Sit on Top Kayak,£628.99,In Stock
Pyranha Surf Jet 2.0 Thigh Straps,£31.99,In Stock
Peak UK Standard Deck,£75.00,Some Colours/Sizes In Stock
Palm Shuck Helmet - Half Cut,£87.00,In Stock
NRS Ion Buoyancy Aid,£94.94,Some Colours/Sizes In Stock
Wenonah Kneeling Pad,£34.94,In Stock
Perception Triumph 13 SOT Kayak,£699.00,Call Us For A Leadtime
Astral Brewer 2.0 Mens Water Shoe,£87.00,In Stock
Playboater Rec Neoprene Spraydeck,£67.98,Some Colours/Sizes In Stock
NRS Quick Release SUP leash,£59.94,In Stock
Peak UK Thermal Rashy - Short Sleeved - 2021,£40.00,In Stock
Palm Quantum Longjohn Wetsuit (Womens),£94.99,Some Colours/Sizes In Stock
Wave Sport Ethos Crossover Kayak - Whiteout,£829.00,Some Colours/Sizes In Stock
Overboard Multipurpose Case,£15.98,In Stock
Aqua-Bound Sting Ray Hybrid 2-pc Posi-Lok Paddle,£154.99,In Stock
Palm Caddy Kayak Trolley,£79.99,In Stock
Palm Peyto Buoyancy Aid - 2021,£124.99,Some Colours/Sizes In Stock
Dryrobe Purple Long Sleeved Changing Robe,£160.00,Contact Us
Perception Expression 11 Kayak,£829.00,Some Colours/Sizes In Stock
NRS Paddle Float,£45.95,In Stock
Palm Vertigo Semi-Dry Cag,£120.00,Some Colours/Sizes In Stock
Palm Descent Neoprene Pogies,£42.00,In Stock
Palm AP4000 Helmet,£40.00,In Stock
NRS Ninja Buoyancy Aid,£124.94,Some Colours/Sizes In Stock
NRS Bungee Paddle Leash,£17.94,Call Us For A Leadtime
Grey Owl Tenderfoot Canoe Paddle,£59.94,In Stock
Peak UK River Wrap PFD - 2021,£175.00,In Stock
Palm Pro Throwline,£48.00,In Stock
Palm Ace Buoyancy Aid,£90.00,Some Colours/Sizes In Stock
Islander Paradise-2 Sit on Top Kayak,£699.00,Contact Us
Palm Horizon Shorts - 2021,£75.00,Some Colours/Sizes In Stock
Palm Autolock Karabiner,£22.00,In Stock
Werner Skagit FG Paddle,£139.98,Contact Us
Peak UK Neoprene Gloves,£28.00,Some Colours/Sizes In Stock
Palm Ullswater Nylon Spraydeck,£37.99,Call Us For A Leadtime
Palm Shuck Helmet - Full Cut,£97.00,Some Colours/Sizes In Stock
Palm Quantum Longjohn Wetsuit,£94.99,Some Colours/Sizes In Stock
Grey Owl Paddle Bag Canoe Paddle Bag,£54.95,In Stock
Palm Zambezi Utility Belt,£60.00,In Stock
Palm Velocity Dry Cag,£150.00,Some Colours/Sizes In Stock
Palm Hook Gloves,£39.00,Some Colours/Sizes In Stock
NRS Cockpit Cover,£49.94,Contact Us
Palm Mid-Weight Float Bag,£16.99,Some Colours/Sizes In Stock
Astral Rassler 2.0 Boots,£117.00,In Stock
Astral Brewess 2.0 Womens Water Shoe,£87.00,In Stock
Wilderness Systems Tarpon 120 Sit on Top Kayak,£898.99,Call Us For A Leadtime
Palm Tsangpo Socks,£16.99,Some Colours/Sizes In Stock
Palm Tsangpo Fleece Hat,£16.99,In Stock
Palm Maverick G1 (2 Piece) Paddle,£105.00,Call Us For A Leadtime
Palm Atom Pants,£199.99,Call Us For A Leadtime
Gift Voucher for Canoeists,From £5.00,In Stock
Pyranha Surf Jet 2.0 Deck Pod,£42.00,In Stock
Lifesystems Waterproof First Aid Kit,£29.99,In Stock
Jobe Aero Yarra SUP Board 10.6 Package Teal,£699.00,In Stock
Dryrobe Navy Long Sleeved Changing Robe,£160.00,Contact Us
Palm Atom Pants - Womens Fit,£199.99,Contact Us
Venture Islay 12 Touring Kayak (Fit4 Sport  Outfitting),£945.00,Some Colours/Sizes In Stock
Sandiline Low Sand Shoes,£28.00,In Stock
Palm Orbit Neoprene Spraydeck,£169.99,Some Colours/Sizes In Stock
Palm AP2000 Helmet,£40.00,In Stock
Jobe Aero Duna SUP Board 11.6 Package,£769.98,In Stock
Pyranha Fusion II Crossover Kayak (Stout 1 Outfitting),£895.00,Some Colours/Sizes In Stock
Palm Drift-Lite Paddle,£85.00,Some Colours/Sizes In Stock
Werner Nantahala Canoe Paddle,£189.98,Contact Us
Streamlyte Kidstix Paddle,£79.99,Some Colours/Sizes In Stock
Palm Paddle Float,£31.99,Call Us For A Leadtime
Dryrobe Cobalt Long Sleeved Changing Robe,£160.00,Contact Us
Palm Atom Bib,£289.99,Call Us For A Leadtime
NRS Hydroskin 0.5 Long Sleeved Shirt - Womens Fit,£94.94,Contact Us
Gift Voucher for Recreational Paddlers,From £5.00,In Stock
NRS Bills Bag,£119.94,Some Colours/Sizes In Stock
Whetman Anaconda 3m Towline,£16.00,In Stock
Peak UK Ocean Bothy Lightweight Cag,£160.00,In Stock
Peak UK Explorer Bib (Salopettes),£259.99,In Stock
Palm Drift Kayak Paddle,£49.99,Contact Us
Ortlieb Heavy Duty Drybag,£25.00,Some Colours/Sizes In Stock
Jobe Aero Yarra SUP Board 10.6 Package Red,£699.00,In Stock
Jobe Aero Loa SUP Board 11.6 Package,£769.98,In Stock
Hou 14 Canoe,"£1,129.98",In Stock
Dryrobe Red Long Sleeved Changing Robe,£160.00,Contact Us
Palm Poncho Grande Changing Robe,£78.00,Contact Us
Wilderness Systems Tarpon 100 Sit on Top Kayak,From £759.00,Some Colours/Sizes In Stock
Venture Ranger 149 Cruiser Canoe,"£1,185.00",Call Us For A Leadtime
Palm Descender Shoes,£64.99,Contact Us
Select X.One Paddle - Straight Shaft,From £208.99,Call Us For A Leadtime
Palm Zenith Semi-Dry Shortie Cag,£139.99,Some Colours/Sizes In Stock
Palm Quantum Longjohn Wetsuit (Kids),£65.00,Some Colours/Sizes In Stock
NRS Quest Adjustable SUP Paddle,£124.94,In Stock
Kokatat Hydrus3L Tempest Pants - Womens Fit,£199.98,Call Us For A Leadtime
Eckla Atlantic 260 Kayak Trolley,£89.99,In Stock
Dryrobe Kids Black Short Sleeved Changing Robe,£85.00,Contact Us
Palm Universal Backband (Small),£28.00,In Stock
Palm Universal Backband (Large),£28.00,In Stock
Mikasa Polo Competition Ball,£17.50,In Stock
Lifesystems Shelter - 4 Person,£36.98,In Stock
Grey Owl Hammerhead Canoe Paddle,£139.94,In Stock
Zet Drain Bung,£7.99,Some Colours/Sizes In Stock
Yak Open Palm Mitt,£22.50,Some Colours/Sizes In Stock
Watershed Chattooga 22L Bag,£129.98,Call Us For A Leadtime
Palm Poncho Changing Robe,£48.00,In Stock
Palm Current Mitts,£42.00,Call Us For A Leadtime
Palm Atom Whitewater Drysuit - Women's Fit,£685.00,Some Colours/Sizes In Stock
Palm Atom Whitewater Drysuit,£685.00,Some Colours/Sizes In Stock
NRS Women's H2Core Lightweight Pants,£54.95,Some Colours/Sizes In Stock
NRS Women's H2Core Expedition Weight Shirt,£74.94,In Stock
NRS Stratos Paddling Jacket,£149.94,Some Colours/Sizes In Stock
NRS SUP Board Fin,£16.94,Contact Us
Lifesystems Shelter - 2 Person,£27.98,In Stock
Kokatat Hydrus 3L Tempest Pants,£199.98,Some Colours/Sizes In Stock
Jobe SUP Coiled Leash,£24.98,In Stock
Jobe Aero Mira SUP Board 10.0 Package,£499.98,Call Us For A Leadtime
Islander Koa Beach Sit-on-Top Kayak,£448.99,In Stock
Ainsworth C100 Canoe Paddle,£59.94,Some Colours/Sizes In Stock
Ash Thwart,£33.00,In Stock
Typhoon 80L Walrus Kit Bag,£42.95,In Stock
Palm Zenith Semi-Dry Cag,£175.00,Some Colours/Sizes In Stock
Palm Paddle Bag,£79.99,In Stock
Palm Horizon Shorts (Women's Fit),£75.00,Some Colours/Sizes In Stock
Palm Centre Zip Buoyancy Aid,£75.00,Call Us For A Leadtime
Venture Islay Cruiser (Fit 4/Skeg),£754.99,Some Colours/Sizes In Stock
